name	path	emotion
s08 (6).wav	data\aesdd\sadness\s08 (6).wav	sadness
s11 (5).wav	data\aesdd\sadness\s11 (5).wav	sadness
a02 (2).wav	data\aesdd\anger\a02 (2).wav	anger
h09 (4).wav	data\aesdd\happiness\h09 (4).wav	happiness
f19 (3).wav	data\aesdd\fear\f19 (3).wav	fear
a01 (6).wav	data\aesdd\anger\a01 (6).wav	anger
a20 (5).wav	data\aesdd\anger\a20 (5).wav	anger
d11 (4).wav	data\aesdd\disgust\d11 (4).wav	disgust
a20 (2).wav	data\aesdd\anger\a20 (2).wav	anger
s20 (6).wav	data\aesdd\sadness\s20 (6).wav	sadness
h15 (5).wav	data\aesdd\happiness\h15 (5).wav	happiness
f12 (5).wav	data\aesdd\fear\f12 (5).wav	fear
h11 (1).wav	data\aesdd\happiness\h11 (1).wav	happiness
d19 (2).wav	data\aesdd\disgust\d19 (2).wav	disgust
d10 (2).wav	data\aesdd\disgust\d10 (2).wav	disgust
s18 (6).wav	data\aesdd\sadness\s18 (6).wav	sadness
a10 (5).wav	data\aesdd\anger\a10 (5).wav	anger
d08 (2).wav	data\aesdd\disgust\d08 (2).wav	disgust
d11 (6).wav	data\aesdd\disgust\d11 (6).wav	disgust
a01 (1).wav	data\aesdd\anger\a01 (1).wav	anger
s19 (2).wav	data\aesdd\sadness\s19 (2).wav	sadness
a19 (6).wav	data\aesdd\anger\a19 (6).wav	anger
s15 (3).wav	data\aesdd\sadness\s15 (3).wav	sadness
d11 (5).wav	data\aesdd\disgust\d11 (5).wav	disgust
d03 (5).wav	data\aesdd\disgust\d03 (5).wav	disgust
d19 (5).wav	data\aesdd\disgust\d19 (5).wav	disgust
s14 (6).wav	data\aesdd\sadness\s14 (6).wav	sadness
s03 (5).wav	data\aesdd\sadness\s03 (5).wav	sadness
h05 (1).wav	data\aesdd\happiness\h05 (1).wav	happiness
d09 (4).wav	data\aesdd\disgust\d09 (4).wav	disgust
a07 (2).wav	data\aesdd\anger\a07 (2).wav	anger
f14 (2).wav	data\aesdd\fear\f14 (2).wav	fear
h02 (4).wav	data\aesdd\happiness\h02 (4).wav	happiness
h20 (1).wav	data\aesdd\happiness\h20 (1).wav	happiness
a05 (4).wav	data\aesdd\anger\a05 (4).wav	anger
a12 (2).wav	data\aesdd\anger\a12 (2).wav	anger
f20 (2).wav	data\aesdd\fear\f20 (2).wav	fear
h16 (6).wav	data\aesdd\happiness\h16 (6).wav	happiness
a16 (4).wav	data\aesdd\anger\a16 (4).wav	anger
f08 (1).wav	data\aesdd\fear\f08 (1).wav	fear
f07 (5).wav	data\aesdd\fear\f07 (5).wav	fear
h08 (2).wav	data\aesdd\happiness\h08 (2).wav	happiness
h06 (6).wav	data\aesdd\happiness\h06 (6).wav	happiness
s16 (1).wav	data\aesdd\sadness\s16 (1).wav	sadness
f20 (6).wav	data\aesdd\fear\f20 (6).wav	fear
h04 (5).wav	data\aesdd\happiness\h04 (5).wav	happiness
s02 (5).wav	data\aesdd\sadness\s02 (5).wav	sadness
a11 (5).wav	data\aesdd\anger\a11 (5).wav	anger
s01 (1).wav	data\aesdd\sadness\s01 (1).wav	sadness
f09 (1).wav	data\aesdd\fear\f09 (1).wav	fear
